id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0033436,3.5378804,10.47053,21.719364,-0.8688216,11.315319,1.4426003,6.9,22.0,1.633148,tt0037027,,,,,
tt0088207,3.7885678,11.693207,19.214615,-0.94736093,9.238815,1.4706701,5.65,13.0,1.770573,tt0090200,,,,,
tt0116405,1.0102618,11.597393,21.467278,-2.7037597,8.6895895,2.249304,5.1,9.0,0.7466619999999999,tt0090056,,,,,
tt0983909,3.6610208,11.198885,18.831417,-4.6784353,11.278673,-0.50774777,6.95,14.0,0.546307,,,,,,
tt0028597,3.056238,11.099292,20.547323,-5.709929,13.767436,0.7744741,7.45,59.0,8.105442,tt0029284,tt0032599,tt0039169,,,
tt0106375,5.780838,13.06023,18.521553,-4.9194603,11.1433525,2.350367,4.95,14.0,5.886769,tt0106701,,,,,
tt0236019,1.6855804,12.158208,20.670122,-5.598842,12.76747,0.4376928,5.9,30.0,7.563606,,,,,,
tt0381716,1.4099466,14.487204,19.94946,-4.607514,11.768233,4.3341274,6.7,9.0,0.763051,,,,,,
tt0082121,3.4493287,11.44991,19.451988,-3.4392219,11.185425,1.302429,5.9,5.0,1.527771,tt0076106,tt0081562,tt0095662,tt0074281,tt0072351,
tt0118772,1.5241071,11.463376,19.737957,-5.1527267,13.227602,2.3914232,4.45,11.0,2.1456880000000003,tt0119272,tt0105159,,,,
tt0379270,4.1364264,11.899247,21.050087,-4.9703875,11.856942,3.9764535,5.8,19.0,0.8666530000000001,,,,,,
tt0034303,1.546678,11.580124,22.077255,-2.7512908,12.168741,2.5660892,6.35,17.0,1.000254,tt0023369,tt0034012,tt0032617,,,
tt0431461,2.7033136,10.7907295,18.589937,-4.287902,11.028318,1.5976988,6.05,4.0,0.333017,tt0391728,tt0453453,,,,
tt0075815,3.192874,12.541267,19.027882,-4.649203,12.747724,1.1785955,6.75,2.0,1.355624,,,,,,
tt0088161,3.259319,10.919187,20.27391,-4.6614776,13.14075,1.384235,6.15,45.0,8.441602,tt0086927,,,,,
tt0182789,5.6449375,12.306269,19.103912,0.05239276,7.745756,1.3090163,6.9,104.0,9.369917999999998,tt0120716,tt0113986,tt0426931,,,
tt0119361,3.0249295,14.015165,21.084274,-4.781769,12.659435,0.31744564,7.0,62.0,3.323672,tt0256276,,,,,
tt0419663,4.774958,12.87883,20.858534,-1.643582,11.883286,2.639264,4.35,16.0,0.262437,,,,,,
tt0076319,2.4062505,10.751833,18.537912,-5.31053,11.890402,3.746649,6.55,7.0,0.00273,,,,,,
tt0081150,2.915211,13.004162,17.171335,-2.779058,11.361341,3.3277266,6.8,27.0,6.7374350000000005,tt0082894,,,,,
tt0053001,2.31798,11.962229,18.840635,-3.226147,11.757856,3.9689212,8.4,14.0,0.611118,,,,,,
tt0098649,1.4428785,10.068015,20.777874,-3.4940863,12.27384,1.5713232,5.300000000000001,9.0,0.000578,,,,,,
tt0063098,3.1930718,10.518984,18.639101,-5.252407,12.759791,1.2784668,7.1,9.0,1.070586,tt0035659,tt0044075,,,,
tt0046998,2.2727883,12.292016,18.295984,-4.0102725,10.961681,4.836075,6.85,36.0,0.764523,tt0087144,,,,,
tt0121297,5.9143806,10.454987,20.171885,-3.5169067,12.980728,0.42863286,3.25,2.0,0.002317,tt0068448,,,,,
tt0036709,3.722983,9.459926,22.516268,-2.2283354,10.706082,-0.3109152,6.65,11.0,0.773964,,,,,,
tt0067454,4.651463,11.8895,22.405226,-3.1049871,12.275382,1.3743608,6.4,51.0,1.3373700000000002,tt0064683,tt0365125,tt0111127,,,
tt0110516,3.5908337,13.726495,19.645899,-3.507583,12.317571,2.9004054,5.6,20.0,3.770115,tt0120683,,,,,
tt0347304,3.135856,12.011676,19.607561,-5.2095203,11.843714,4.600971,7.65,57.0,5.584308,tt0248126,,,,,
tt0064603,3.9674423,11.102775,18.768084,-3.195991,10.46574,3.353933,6.25,34.0,10.091707,tt0062737,tt0065566,,,,
tt0795376,-0.2700038,10.895885,18.676146,-5.7079315,12.611943,2.9661508,6.050000000000001,24.0,2.665564,tt0372884,,,,,
tt0030302,3.2119122,9.132718,18.160032,-4.8733635,11.731348,3.1567192,7.2,5.0,0.400777,tt0025410,tt0036677,,,,
tt0087968,2.2078846,10.874205,17.865814,-0.7688207,11.326157,3.0314834,6.25,10.0,10.941991,tt0090769,tt0104438,,,,
tt0032617,3.7183902,9.923779,19.376047,-5.2752695,12.970922,2.0998878,7.15,16.0,1.46809,tt0025464,tt0023305,,,,
tt0364093,2.63443,13.237114,19.94959,-4.527377,12.010904,4.632462,7.0,47.0,0.5026520000000001,,,,,,
tt0092690,3.6397395,10.668773,20.511911,-1.2231847,10.139931,1.8836731,5.95,15.0,2.118964,tt0084788,tt0100608,tt0103671,,,
tt0064860,4.9192314,10.159262,20.388678,-1.6874021,10.658683,2.9926062,6.4,8.0,3.785942,,,,,,
tt0203343,4.136362,13.202547,19.353779,-0.41149616,9.029767,0.24506575,4.65,32.0,0.596097,,,,,,
tt0088680,4.066149,10.897149,19.313557,-5.2524085,12.399072,0.7542152,7.550000000000001,113.0,6.5831610000000005,tt0119485,tt0063803,tt0106226,,,
tt0076301,3.0661993,11.326413,22.5927,-2.7393446,11.118565,0.22318387,6.4,20.0,0.78483,tt0082220,tt0068245,tt0070509,,,
tt0299203,0.6130788,11.533526,18.740578,-5.325264,12.920206,3.0193648,4.699999999999999,4.0,0.678391,,,,,,
tt0039819,2.348056,11.295993,18.97755,-4.7645874,13.190599,2.6083968,6.4,4.0,0.090449,,,,,,
tt0162346,3.0161417,13.32022,20.214117,-5.4489503,13.200609,1.7514921,7.199999999999999,136.0,5.460971,tt0335266,tt0305206,tt0364955,,,
tt0114496,3.645235,13.748504,21.84294,-4.4559126,11.2794895,4.488273,5.7,37.0,3.743212,tt0117002,tt0096037,,,,
tt0100212,2.128509,13.631081,21.436142,-0.5458461,10.43624,0.8624697,6.15,18.0,5.4516230000000006,tt0083798,,,,,
tt0069097,2.761341,10.887596,17.605652,-3.1320562,10.284794,4.453352,7.5,57.0,5.526401,tt0068555,tt0093818,,,,
tt0028505,3.7888904,12.301281,22.000044,-4.5482793,12.25884,3.7804718,6.8,19.0,4.7223370000000005,,,,,,
tt0214878,1.8946899,12.1569195,17.608007,-3.2825143,10.368987,3.104201,6.25,5.0,1.434689,tt0094082,tt0067770,tt0324133,tt0110638,,
tt0032599,2.923568,10.707967,21.97133,-4.430541,11.586578,3.5922155,7.7,101.0,9.88321,tt0028597,tt0029284,,,,
tt0325675,4.193793,12.774854,17.603645,-3.2021596,10.795788,4.581761,8.0,10.0,0.567814,,,,,,
tt0069704,4.0319157,11.277784,20.093899,-5.2415047,13.214687,0.24530172,7.15,122.0,9.188584,tt0074119,tt0075860,tt0084805,,,
tt0810868,3.1367218,11.683103,19.161667,-3.8656237,12.426608,0.8485152,6.800000000000001,23.0,2.529219,tt0408777,tt0126765,,,,
tt0120510,3.0611167,13.06705,21.426125,-2.792017,10.834411,3.3164184,5.550000000000001,30.0,2.976537,,,,,,
tt0218864,2.5633686,10.884043,20.891514,-5.3626413,13.487623,0.8896614,5.699999999999999,6.0,7.922964,,,,,,
tt0080539,0.6493392,11.081914,21.855282,-3.286781,11.925879,-0.08261808,6.9,23.0,2.146237,tt0087188,tt0093267,tt0064940,tt0044000,,
tt0074174,3.9518864,11.081278,19.148252,-2.5402274,11.849355,2.117335,7.15,50.0,8.399441,,,,,,
tt0105435,4.8567834,11.675074,21.34205,-1.1906387,8.68314,1.5238949,6.9,68.0,7.207325,tt0113161,tt0089118,tt0101745,,,
